Название пары,Текущая цена,Максимальная цена за сутки,Минимальная цена за сутки,Изменение цены за сутки,Изменение цены в процентах за сутки,Объем торгов за сутки
DUSKBNB,0.00118000,0.00000000,0.00000000,0.00000000,0.000%,0.00000000
DUSKBTC,0.00000625,0.00000630,0.00000608,0.00000006,0.969%,498140.00000000
DUSKUSDT,0.12640000,0.13030000,0.12330000,-0.00110000,-0.863%,11108948.00000000
DUSKUSDC,0.01790000,0.00000000,0.00000000,0.00000000,0.000%,0.00000000
DUSKPAX,0.01890000,0.00000000,0.00000000,0.00000000,0.000%,0.00000000
BGBPUSDC,1.39000000,0.00000000,0.00000000,0.00000000,0.000%,0.00000000
ANKRBNB,0.00009930,0.00010260,0.00009830,-0.00000240,-2.360%,340511.00000000
ANKRBTC,0.00000141,0.00000144,0.00000139,-0.00000001,-0.704%,4308692.00000000
ANKRUSDT,0.02851000,0.02972000,0.02808000,-0.00090000,-3.060%,71521328.70000000
ANKRTUSD,0.00212800,0.00000000,0.00000000,0.00000000,0.000%,0.00000000
ANKRPAX,0.00209300,0.00000000,0.00000000,0.00000000,0.000%,0.00000000
ANKRUSDC,0.00209700,0.00000000,0.00000000,0.00000000,0.000%,0.00000000
ONTPAX,0.84510000,0.00000000,0.00000000,0.00000000,0.000%,0.00000000
ONTUSDC,0.57080000,0.00000000,0.00000000,0.00000000,0.000%,0.00000000
WINBNB,0.00000036,0.00000037,0.00000035,0.00000000,0.000%,320904697.00000000
WINBTC,0.00000001,0.00000000,0.00000000,0.00000000,0.000%,0.00000000
WINUSDT,0.00010280,0.00010470,0.00010200,-0.00000100,-0.963%,12043026358.00000000
WINUSDC,0.00009730,0.00000000,0.00000000,0.00000000,0.000%,0.00000000
COSBNB,0.00001902,0.00001951,0.00001891,-0.00000049,-2.512%,2346030.00000000
COSBTC,0.00000027,0.00000028,0.00000026,0.00000000,0.000%,35249727.00000000
COSUSDT,0.00545000,0.00564000,0.00541000,-0.00017000,-3.025%,48675885.00000000
TUSDBTUSD,0.99750000,0.00000000,0.00000000,0.00000000,0.000%,0.00000000
NPXSUSDT,0.00703010,0.00000000,0.00000000,0.00000000,0.000%,0.00000000
NPXSUSDC,0.00017020,0.00000000,0.00000000,0.00000000,0.000%,0.00000000
COCOSBNB,0.00208400,0.00211800,0.00205800,-0.00002600,-1.232%,14916.00000000
COCOSBTC,0.00000003,0.00000000,0.00000000,0.00000000,0.000%,0.00000000
COCOSUSDT,0.59620000,0.61000000,0.58990000,-0.01250000,-2.054%,697151.00000000
MTLUSDT,0.99400000,1.03400000,0.97600000,-0.03100000,-3.024%,803407.90000000
TOMOBNB,0.03255000,0.00000000,0.00000000,0.00000000,0.000%,0.00000000
TOMOBTC,0.00002089,0.00002105,0.00002056,0.00000001,0.048%,50167.70000000
TOMOUSDT,0.42270000,0.43360000,0.41670000,-0.00850000,-1.971%,549286.50000000
TOMOUSDC,0.36700000,0.00000000,0.00000000,0.00000000,0.000%,0.00000000
PERLBNB,0.00007180,0.00000000,0.00000000,0.00000000,0.000%,0.00000000
PERLBTC,0.00000104,0.00000105,0.00000102,0.00000000,0.000%,2638420.00000000
PERLUSDC,0.02447000,0.00000000,0.00000000,0.00000000,0.000%,0.00000000
PERLUSDT,0.02107000,0.02154000,0.02059000,-0.00043000,-2.000%,17202263.20000000
DENTUSDT,0.00085300,0.00089100,0.00084200,-0.00003000,-3.398%,1629033504.00000000
MFTUSDT,0.00494500,0.00509300,0.00486400,-0.00012500,-2.465%,160784316.00000000
KEYUSDT,0.00444000,0.00456600,0.00437700,-0.00008300,-1.835%,91697287.00000000
STORMUSDT,0.00339700,0.00000000,0.00000000,0.00000000,0.000%,0.00000000
DOCKUSDT,0.01923000,0.02014000,0.01916000,-0.00077000,-3.850%,10523072.00000000
WANUSDT,0.18080000,0.18820000,0.17930000,-0.00470000,-2.534%,1098078.00000000
FUNUSDT,0.00746000,0.00758000,0.00739000,-0.00007000,-0.930%,17305825.00000000
CVCUSDT,0.12260000,0.12820000,0.12120000,-0.00420000,-3.312%,5927784.00000000
BTTTRX,0.03945000,0.00000000,0.00000000,0.00000000,0.000%,0.00000000
WINTRX,0.00163500,0.00168500,0.00162400,0.00000000,0.000%,336333235.10000000
CHZBNB,0.00066460,0.00069770,0.00065160,-0.00003000,-4.319%,5723868.00000000
CHZBTC,0.00000942,0.00000980,0.00000926,-0.00000028,-2.887%,36339529.00000000
CHZUSDT,0.19050000,0.20200000,0.18610000,-0.00950000,-4.750%,233556595.00000000
BANDBNB,0.02248000,0.00000000,0.00000000,0.00000000,0.000%,0.00000000
BANDBTC,0.00005530,0.00005810,0.00005440,0.00000040,0.729%,94391.00000000
BANDUSDT,1.11800000,1.14400000,1.10000000,-0.01500000,-1.324%,1180084.90000000
BNBBUSD,286.70000000,289.80000000,284.70000000,-1.50000000,-0.520%,159529.33300000
BTCBUSD,20221.01000000,20774.61000000,20030.00000000,-399.10000000,-1.935%,152659.19785000
BUSDUSDT,0.99980000,1.00000000,0.99970000,0.00010000,0.010%,681589263.00000000
BEAMBNB,0.02177000,0.00000000,0.00000000,0.00000000,0.000%,0.00000000
BEAMBTC,0.00000838,0.00000850,0.00000827,0.00000000,0.000%,178685.00000000
BEAMUSDT,0.16970000,0.17440000,0.16890000,-0.00310000,-1.794%,1028412.00000000
XTZBNB,0.00494400,0.00504300,0.00488500,-0.00004100,-0.822%,6048.80000000
XTZBTC,0.00007011,0.00007080,0.00006900,-0.00000003,-0.043%,465081.50000000
XTZUSDT,1.41800000,1.46600000,1.39300000,-0.02800000,-1.936%,1722431.20000000
RENUSDT,0.12380000,0.12580000,0.12010000,-0.00130000,-1.039%,11451973.00000000
RVNUSDT,0.03092000,0.03234000,0.03032000,-0.00137000,-4.243%,118116350.00000000
HCUSDT,0.84230000,0.00000000,0.00000000,0.00000000,0.000%,0.00000000
HBARBNB,0.00020580,0.00021080,0.00020380,-0.00000310,-1.484%,312507.00000000
HBARBTC,0.00000293,0.00000294,0.00000285,0.00000000,0.000%,4222671.00000000
HBARUSDT,0.05920000,0.06090000,0.05810000,-0.00100000,-1.661%,89827675.00000000
NKNBNB,0.00074700,0.00000000,0.00000000,0.00000000,0.000%,0.00000000
NKNBTC,0.00000427,0.00000440,0.00000418,-0.00000005,-1.157%,871393.00000000
NKNUSDT,0.08640000,0.09070000,0.08460000,-0.00270000,-3.030%,12147111.00000000
XRPBUSD,0.46140000,0.47580000,0.45650000,-0.01050000,-2.225%,89548522.00000000
