Название пары,Текущая цена,Максимальная цена за сутки,Минимальная цена за сутки,Изменение цены за сутки,Изменение цены в процентах за сутки,Объем торгов за сутки
WTCUSDT,0.26990000,0.28370000,0.26550000,0.00060000,0.223%,2534119.00000000
DATABUSD,0.03098000,0.03186000,0.03064000,-0.00069000,-2.179%,1977939.00000000
DATAUSDT,0.03104000,0.03183000,0.03070000,-0.00067000,-2.113%,3714759.70000000
XZCUSDT,4.44600000,0.00000000,0.00000000,0.00000000,0.000%,0.00000000
SOLBNB,0.10660000,0.11080000,0.10530000,-0.00270000,-2.470%,14458.83000000
SOLBTC,0.00151180,0.00154920,0.00149800,-0.00001610,-1.054%,264572.13000000
SOLUSDT,30.57000000,32.10000000,30.11000000,-0.94000000,-2.983%,2980853.23000000
SOLBUSD,30.57000000,32.10000000,30.11000000,-0.94000000,-2.983%,1638007.37000000
BTCIDRT,693891182.00,0.00,0.00,0.00,0.000%,0.00000000
BNBIDRT,4286985.00,0.00,0.00,0.00,0.000%,0.00000000
USDTIDRT,15547.00,73499.00,15547.00,-28.00,-0.180%,104267.00000000
BUSDIDRT,14389.00,0.00,0.00,0.00,0.000%,0.00000000
CTSIBTC,0.00000658,0.00000662,0.00000642,-0.00000001,-0.152%,465309.00000000
CTSIUSDT,0.13290000,0.13630000,0.13040000,-0.00300000,-2.208%,6213316.00000000
CTSIBNB,0.00046400,0.00047200,0.00045600,-0.00000600,-1.277%,326580.00000000
CTSIBUSD,0.13310000,0.13630000,0.13040000,-0.00220000,-1.626%,764372.00000000
HIVEBNB,0.00429000,0.00000000,0.00000000,0.00000000,0.000%,0.00000000
HIVEBTC,0.00002315,0.00002354,0.00002301,-0.00000020,-0.857%,201663.00000000
HIVEUSDT,0.46780000,0.48400000,0.46450000,-0.01380000,-2.865%,798056.00000000
CHRBNB,0.00050440,0.00052820,0.00049480,-0.00001410,-2.719%,237125.00000000
CHRBTC,0.00000716,0.00000739,0.00000705,-0.00000008,-1.105%,633309.00000000
CHRUSDT,0.14460000,0.15320000,0.14190000,-0.00510000,-3.407%,23499104.00000000
BTCUPUSDT,4.10500000,4.32400000,4.02000000,-0.16100000,-3.774%,326865.22000000
BTCDOWNUSDT,0.03052900,0.03111100,0.02890000,0.00115000,3.914%,100215261.60000000
GXSUSDT,1.79230000,0.00000000,0.00000000,0.00000000,0.000%,0.00000000
ARDRUSDT,0.09510000,0.09800000,0.09450000,-0.00170000,-1.756%,339047.00000000
ERDBUSD,0.01966100,0.00000000,0.00000000,0.00000000,0.000%,0.00000000
LENDUSDT,0.51431000,0.00000000,0.00000000,0.00000000,0.000%,0.00000000
HBARBUSD,0.05930000,0.06090000,0.05810000,-0.00100000,-1.658%,26221620.00000000
MATICBUSD,0.91280000,0.94560000,0.89400000,-0.01620000,-1.744%,33119349.00000000
WRXBUSD,0.20200000,0.20520000,0.20070000,-0.00280000,-1.367%,266208.60000000
ZILBUSD,0.02985000,0.03071000,0.02948000,-0.00069000,-2.259%,15166408.50000000
MDTBNB,0.00073720,0.00000000,0.00000000,0.00000000,0.000%,0.00000000
MDTBTC,0.00000144,0.00000148,0.00000143,-0.00000002,-1.370%,2298958.00000000
MDTUSDT,0.02921000,0.03038000,0.02865000,-0.00084000,-2.795%,17493834.10000000
STMXBTC,0.00000033,0.00000034,0.00000032,0.00000000,0.000%,6337260.00000000
STMXETH,0.00000443,0.00000447,0.00000436,0.00000002,0.454%,4212756.00000000
STMXUSDT,0.00664600,0.00689800,0.00656600,-0.00023600,-3.429%,50983426.00000000
KNCBUSD,0.88000000,0.92800000,0.86600000,-0.03800000,-4.139%,331935.30000000
KNCUSDT,0.88000000,0.92800000,0.86600000,-0.03800000,-4.139%,3446047.50000000
REPBUSD,13.67300000,0.00000000,0.00000000,0.00000000,0.000%,0.00000000
REPUSDT,6.91000000,7.38000000,6.83000000,-0.40000000,-5.472%,114968.04000000
LRCBUSD,0.26640000,0.27890000,0.26290000,-0.00720000,-2.632%,2528198.00000000
LRCUSDT,0.26630000,0.27900000,0.26260000,-0.00670000,-2.454%,24797478.00000000
IQBNB,0.00002243,0.00000000,0.00000000,0.00000000,0.000%,0.00000000
IQBUSD,0.00445000,0.00474000,0.00440000,-0.00011000,-2.412%,26390203.00000000
PNTBTC,0.00001203,0.00001255,0.00001136,0.00000053,4.609%,728323.00000000
PNTUSDT,0.24300000,0.25410000,0.23400000,0.00520000,2.187%,4936679.00000000
BTCGBP,17552.75000000,17939.15000000,17409.58000000,-283.78000000,-1.591%,1625.62413000
ETHGBP,1308.91000000,1366.20000000,1291.20000000,-29.35000000,-2.193%,2741.55780000
XRPGBP,0.40050000,0.41060000,0.39640000,-0.00790000,-1.934%,5884398.00000000
BNBGBP,248.70000000,250.50000000,246.30000000,-0.60000000,-0.241%,970.90400000
GBPBUSD,1.15200000,1.16300000,1.15000000,-0.00400000,-0.346%,2673166.10000000
DGBBTC,0.00000043,0.00000044,0.00000042,-0.00000001,-2.273%,4865994.00000000
DGBBUSD,0.00876000,0.00903000,0.00863000,-0.00016000,-1.794%,12635285.60000000
BTCUAH,804447.00000000,828297.00000000,797797.00000000,-18668.00000000,-2.268%,7.46044000
USDTUAH,39.76000000,39.99000000,39.70000000,-0.16000000,-0.401%,959542.00000000
COMPBTC,0.00249700,0.00255100,0.00246000,-0.00002200,-0.873%,7972.56200000
COMPBNB,5.71900000,0.00000000,0.00000000,0.00000000,0.000%,0.00000000
COMPBUSD,50.50000000,52.84000000,49.68000000,-1.45000000,-2.791%,15187.84300000
COMPUSDT,50.53000000,52.88000000,49.68000000,-1.38000000,-2.658%,153076.22600000
BTCBIDR,314921285.00,323043370.00,311664339.00,-6109149.00,-1.903%,37.74908000
ETHBIDR,23479624.00,24559999.00,23120961.00,-623824.00,-2.588%,568.74930000
BNBBIDR,4459243.00,4512683.00,4436527.00,-27278.00,-0.608%,597.42500000
BUSDBIDR,15561.00,15581.00,15533.00,-4.00,-0.026%,7745996.00000000
USDTBIDR,15566.00,15586.00,15516.00,-5.00,-0.032%,6877118.50000000
BKRWUSDT,0.00084530,0.00000000,0.00000000,0.00000000,0.000%,0.00000000
BKRWBUSD,0.00084550,0.00000000,0.00000000,0.00000000,0.000%,0.00000000
SCUSDT,0.00324000,0.00331000,0.00321000,-0.00007000,-2.115%,68695607.00000000
ZENUSDT,13.22000000,13.68000000,12.94000000,-0.38000000,-2.794%,67831.62000000
SXPBTC,0.00001594,0.00001605,0.00001574,0.00000006,0.378%,507773.60000000
SXPBNB,0.00112500,0.00136000,0.00111100,-0.00001000,-0.881%,366034.60000000
SXPBUSD,0.32210000,0.33200000,0.31760000,-0.00560000,-1.709%,829060.10000000
SNXBTC,0.00011590,0.00012140,0.00011460,-0.00000360,-3.013%,129764.10000000
SNXBNB,0.00819000,0.00865000,0.00808000,-0.00036000,-4.211%,12917.00000000
SNXBUSD,2.34900000,2.51600000,2.31100000,-0.11600000,-4.706%,262570.10000000
SNXUSDT,2.35100000,2.51600000,2.31000000,-0.11200000,-4.547%,3967374.40000000
ETHUPUSDT,4.27800000,4.64400000,4.15200000,-0.20100000,-4.488%,546292.01000000
ETHDOWNUSDT,0.81350000,0.84420000,0.72910000,0.04440000,5.773%,7316125.16000000
ADAUPUSDT,0.60000000,0.67500000,0.58700000,-0.06600000,-9.910%,2255196.44000000
ADADOWNUSDT,0.00481400,0.00504200,0.00433900,0.00039800,9.013%,601833350.06000000
LINKUPUSDT,0.00993000,0.01064000,0.00958000,-0.00059000,-5.608%,140516301.38000000
LINKDOWNUSDT,0.00581100,0.00609400,0.00530900,0.00041800,7.751%,202348432.80000000
VTHOBNB,0.00000673,0.00000000,0.00000000,0.00000000,0.000%,0.00000000
VTHOBUSD,0.00071800,0.00000000,0.00000000,0.00000000,0.000%,0.00000000
VTHOUSDT,0.00131400,0.00134900,0.00128600,-0.00003200,-2.377%,229260419.00000000
DCRBUSD,16.03500000,0.00000000,0.00000000,0.00000000,0.000%,0.00000000
DGBUSDT,0.00879000,0.00905000,0.00863000,-0.00014000,-1.568%,64092225.90000000
GBPUSDT,1.15200000,1.16300000,1.15000000,-0.00400000,-0.346%,5712610.20000000
STORJBUSD,0.41420000,0.43890000,0.41090000,-0.02040000,-4.694%,199432.00000000
SXPUSDT,0.32260000,0.33140000,0.31760000,-0.00510000,-1.556%,6805964.00000000
IRISBNB,0.00166200,0.00000000,0.00000000,0.00000000,0.000%,0.00000000
IRISBTC,0.00000088,0.00000089,0.00000086,0.00000000,0.000%,2495468.00000000
IRISBUSD,0.06080000,0.00000000,0.00000000,0.00000000,0.000%,0.00000000
MKRBNB,6.90300000,0.00000000,0.00000000,0.00000000,0.000%,0.00000000
MKRBTC,0.04416000,0.04607000,0.04381000,-0.00191000,-4.146%,598.16570000
MKRUSDT,894.00000000,951.00000000,882.00000000,-56.00000000,-5.895%,4441.20040000
MKRBUSD,893.00000000,950.00000000,882.00000000,-57.00000000,-6.000%,919.31670000
DAIBNB,0.04876000,0.00000000,0.00000000,0.00000000,0.000%,0.00000000
DAIBTC,0.00008966,0.00000000,0.00000000,0.00000000,0.000%,0.00000000
DAIUSDT,1.01890000,0.00000000,0.00000000,0.00000000,0.000%,0.00000000
DAIBUSD,1.01810000,0.00000000,0.00000000,0.00000000,0.000%,0.00000000
RUNEBNB,0.00524000,0.00546000,0.00518000,-0.00018000,-3.321%,60219.70000000
RUNEBTC,0.00007430,0.00007640,0.00007360,-0.00000150,-1.979%,575669.90000000
RUNEBUSD,1.50400000,1.57800000,1.48100000,-0.06000000,-3.836%,3776277.50000000
MANABUSD,0.62330000,0.65070000,0.61610000,-0.02310000,-3.574%,2495453.00000000
DOGEBUSD,0.08159000,0.08550000,0.07251000,0.00470000,6.112%,2209556111.00000000
LENDBUSD,0.51530000,0.00000000,0.00000000,0.00000000,0.000%,0.00000000
ZRXBUSD,0.25250000,0.28490000,0.24880000,-0.00860000,-3.294%,558409.00000000
DCRUSDT,27.50000000,28.10000000,27.10000000,-0.20000000,-0.722%,10245.14300000
STORJUSDT,0.41610000,0.43900000,0.41060000,-0.01940000,-4.455%,2461481.00000000
XRPBKRW,319.76000000,0.00000000,0.00000000,0.00000000,0.000%,0.00000000
ADABKRW,327.55000000,0.00000000,0.00000000,0.00000000,0.000%,0.00000000
BTCAUD,31555.04000000,32158.53000000,31242.69000000,-388.07000000,-1.215%,587.00462000
ETHAUD,2355.13000000,2440.00000000,2319.19000000,-42.50000000,-1.773%,2570.95010000
AUDBUSD,0.64090000,0.65000000,0.64010000,-0.00450000,-0.697%,4267201.00000000
FIOBNB,0.00017080,0.00000000,0.00000000,0.00000000,0.000%,0.00000000
FIOBTC,0.00000209,0.00000211,0.00000206,0.00000000,0.000%,806879.00000000
FIOBUSD,0.04220000,0.04320000,0.04200000,-0.00100000,-2.315%,1527685.00000000
BNBUPUSDT,37.13000000,37.86000000,36.61000000,-0.16000000,-0.429%,6398.52000000
BNBDOWNUSDT,0.03684000,0.03760000,0.03603000,0.00033000,0.904%,12646097.59000000
XTZUPUSDT,0.00255100,0.00000000,0.00000000,0.00000000,0.000%,0.00000000
XTZDOWNUSDT,2.60010000,0.00000000,0.00000000,0.00000000,0.000%,0.00000000
AVABNB,0.00218800,0.00000000,0.00000000,0.00000000,0.000%,0.00000000
AVABTC,0.00003525,0.00003576,0.00003478,-0.00000022,-0.620%,135391.80000000
AVABUSD,0.71200000,0.73300000,0.70900000,-0.02000000,-2.732%,103584.50000000
USDTBKRW,1125.00000000,0.00000000,0.00000000,0.00000000,0.000%,0.00000000
BUSDBKRW,1097.18000000,0.00000000,0.00000000,0.00000000,0.000%,0.00000000
IOTABUSD,0.25340000,0.26040000,0.24770000,-0.00530000,-2.049%,2170508.00000000
MANAUSDT,0.62370000,0.65060000,0.61570000,-0.02270000,-3.512%,14942736.00000000
XRPAUD,0.72010000,0.73690000,0.71000000,-0.01140000,-1.558%,976051.00000000
BNBAUD,447.40000000,448.60000000,441.90000000,1.00000000,0.224%,825.93000000
AUDUSDT,0.64060000,0.65120000,0.64000000,-0.00490000,-0.759%,19823764.00000000
BALBNB,0.42580000,0.00000000,0.00000000,0.00000000,0.000%,0.00000000
BALBTC,0.00032790,0.00033840,0.00032190,-0.00000100,-0.304%,29950.46000000
BALBUSD,6.63000000,6.98900000,6.48300000,-0.16100000,-2.371%,39393.99000000
YFIBNB,82.19000000,0.00000000,0.00000000,0.00000000,0.000%,0.00000000
YFIBTC,0.39310000,0.40610000,0.39200000,-0.01280000,-3.153%,36.88612000
YFIBUSD,7953.00000000,8417.00000000,7856.00000000,-420.00000000,-5.016%,74.91532000
YFIUSDT,7949.00000000,8417.00000000,7855.00000000,-421.00000000,-5.030%,378.93845000
BLZBUSD,0.07520000,0.07870000,0.07450000,-0.00300000,-3.836%,1890580.00000000
KMDBUSD,0.46760000,0.00000000,0.00000000,0.00000000,0.000%,0.00000000
BALUSDT,6.63100000,6.99000000,6.48200000,-0.15700000,-2.313%,191702.93000000
BLZUSDT,0.07510000,0.07890000,0.07430000,-0.00300000,-3.841%,17459961.00000000
IRISUSDT,0.01774000,0.01823000,0.01752000,-0.00026000,-1.444%,11919230.50000000
KMDUSDT,0.24680000,0.25390000,0.24430000,-0.00710000,-2.796%,644907.00000000
BTCDAI,20222.07000000,20833.25000000,20073.58000000,-378.35000000,-1.837%,42.29339000
ETHDAI,1509.22000000,1576.29000000,1487.87000000,-39.03000000,-2.521%,4329.12120000
BNBDAI,286.60000000,290.10000000,285.40000000,-1.80000000,-0.624%,95.40500000
USDTDAI,1.00010000,1.00030000,1.00000000,0.00000000,0.000%,2897267.50000000
BUSDDAI,0.99990000,1.00370000,0.99980000,-0.00010000,-0.010%,1756524.20000000
JSTBNB,0.00021850,0.00000000,0.00000000,0.00000000,0.000%,0.00000000
JSTBTC,0.00000150,0.00000152,0.00000139,0.00000010,7.143%,4713118.00000000
JSTBUSD,0.03026000,0.03065000,0.02858000,0.00143000,4.960%,23809464.50000000
JSTUSDT,0.03029000,0.03061000,0.02860000,0.00143000,4.955%,166648222.40000000
SRMBNB,0.00277000,0.00278000,0.00265000,0.00005000,1.838%,19711.00000000
SRMBTC,0.00003950,0.00003980,0.00003730,0.00000150,3.947%,140696.30000000
SRMBUSD,0.79800000,0.80500000,0.75500000,0.01600000,2.046%,234725.90000000
SRMUSDT,0.79800000,0.80500000,0.75500000,0.01300000,1.656%,3832749.90000000
ANTBNB,0.00618000,0.00623000,0.00602000,0.00006000,0.980%,16772.80000000
ANTBTC,0.00008755,0.00008850,0.00008474,0.00000207,2.422%,85603.20000000
ANTBUSD,1.77000000,1.80200000,1.72000000,0.00700000,0.397%,136527.90000000
ANTUSDT,1.77100000,1.80200000,1.71800000,0.00600000,0.340%,1002899.80000000
CRVBNB,0.00687000,0.00000000,0.00000000,0.00000000,0.000%,0.00000000
CRVBTC,0.00004628,0.00004674,0.00004424,0.00000096,2.118%,914330.20000000
CRVBUSD,0.93600000,0.94100000,0.89800000,0.00000000,0.000%,1327842.50000000
CRVUSDT,0.93600000,0.94000000,0.89700000,0.00000000,0.000%,8185707.70000000
SANDBNB,0.00270100,0.00275600,0.00266700,-0.00004800,-1.746%,88452.00000000
SANDBTC,0.00003828,0.00003859,0.00003765,-0.00000019,-0.494%,1281483.00000000
SANDUSDT,0.77410000,0.79800000,0.76130000,-0.01900000,-2.396%,21318447.00000000
SANDBUSD,0.77430000,0.79790000,0.76150000,-0.01890000,-2.383%,3536688.00000000
OCEANBNB,0.00064500,0.00067500,0.00057800,0.00005800,9.881%,300738.00000000
OCEANBTC,0.00000919,0.00000942,0.00000808,0.00000097,11.800%,5501826.00000000
OCEANBUSD,0.18580000,0.20000000,0.16580000,0.01600000,9.423%,42638490.00000000
OCEANUSDT,0.18590000,0.19410000,0.16560000,0.01620000,9.546%,62034974.00000000
NMRBTC,0.00073300,0.00077900,0.00072700,0.00000000,0.000%,5671.13000000
NMRBUSD,14.80000000,15.41000000,14.70000000,-0.31000000,-2.052%,9074.47000000
NMRUSDT,14.81000000,15.40000000,14.70000000,-0.30000000,-1.985%,28887.43000000
DOTBNB,0.02234000,0.02259000,0.02192000,-0.00015000,-0.667%,81733.89000000
DOTBTC,0.00031660,0.00031860,0.00030950,0.00000230,0.732%,386726.32000000
DOTBUSD,6.40000000,6.55000000,6.25000000,-0.08000000,-1.235%,1394865.32000000
DOTUSDT,6.40000000,6.55000000,6.26000000,-0.08000000,-1.235%,6113587.34000000
LUNABNB,0.00000019,0.00000000,0.00000000,0.00000000,0.000%,0.00000000
LUNABTC,0.00000001,0.00000000,0.00000000,0.00000000,0.000%,0.00000000
LUNABUSD,2.40560000,2.53910000,2.31660000,-0.06790000,-2.745%,7532192.11000000
LUNAUSDT,2.40530000,2.53980000,2.31700000,-0.06820000,-2.757%,6883073.13000000
IDEXBTC,0.00000285,0.00000289,0.00000281,-0.00000003,-1.042%,945212.00000000
IDEXBUSD,0.05777000,0.05993000,0.05712000,-0.00147000,-2.481%,4696555.10000000
RSRBNB,0.00002090,0.00002200,0.00002080,-0.00000090,-4.128%,3960013.00000000
RSRBTC,0.00000016,0.00000000,0.00000000,0.00000000,0.000%,0.00000000
RSRBUSD,0.00601000,0.00637000,0.00594000,-0.00032000,-5.055%,174219649.60000000
RSRUSDT,0.00602000,0.00638000,0.00593000,-0.00031000,-4.897%,1104916516.00000000
PAXGBNB,5.73700000,5.79800000,5.72600000,-0.01300000,-0.226%,3.43770000
PAXGBTC,0.08123000,0.08206000,0.07947000,0.00103000,1.284%,127.29770000
PAXGBUSD,1643.00000000,1658.00000000,1642.00000000,-12.00000000,-0.725%,598.27370000
PAXGUSDT,1644.00000000,1660.00000000,1642.00000000,-10.00000000,-0.605%,1138.66130000
WNXMBNB,0.17350000,0.00000000,0.00000000,0.00000000,0.000%,0.00000000
WNXMBTC,0.00067200,0.00000000,0.00000000,0.00000000,0.000%,0.00000000
WNXMBUSD,22.16500000,0.00000000,0.00000000,0.00000000,0.000%,0.00000000
WNXMUSDT,16.86000000,17.77000000,16.64000000,-0.44000000,-2.543%,25665.73000000
TRBBNB,0.51700000,0.00000000,0.00000000,0.00000000,0.000%,0.00000000
TRBBTC,0.00077700,0.00078600,0.00061000,0.00003500,4.717%,6934.47000000
TRBBUSD,15.73000000,15.88000000,14.82000000,0.43000000,2.810%,29288.15000000
TRBUSDT,15.73000000,15.93000000,14.82000000,0.41000000,2.676%,154090.47000000
ETHNGN,805670.00000000,0.00000000,0.00000000,0.00000000,0.000%,0.00000000
DOTBIDR,98914.00,101606.00,98008.00,-2287.00,-2.260%,1612.54000000
LINKAUD,10.87400000,11.16600000,10.59300000,-0.25600000,-2.300%,6203.25000000
SXPAUD,1.86800000,0.00000000,0.00000000,0.00000000,0.000%,0.00000000
BZRXBNB,0.00514000,0.00000000,0.00000000,0.00000000,0.000%,0.00000000
BZRXBTC,0.00000463,0.00000000,0.00000000,0.00000000,0.000%,0.00000000
BZRXBUSD,0.21640000,0.00000000,0.00000000,0.00000000,0.000%,0.00000000
BZRXUSDT,0.21560000,0.00000000,0.00000000,0.00000000,0.000%,0.00000000
WBTCBTC,1.00020000,1.00070000,1.00000000,0.00020000,0.020%,342.41656000
WBTCETH,13.42000000,13.90000000,13.16000000,0.10000000,0.751%,24.62739000
SUSHIBNB,0.00584000,0.00587000,0.00556000,0.00004000,0.690%,368443.90000000
SUSHIBTC,0.00008270,0.00008300,0.00007860,0.00000150,1.847%,561868.40000000
SUSHIBUSD,1.67400000,1.69800000,1.59200000,-0.00200000,-0.119%,2908158.00000000
SUSHIUSDT,1.67300000,1.69800000,1.59100000,-0.00300000,-0.179%,16531113.70000000
YFIIBNB,4.42000000,0.00000000,0.00000000,0.00000000,0.000%,0.00000000
YFIIBTC,0.05780000,0.05975000,0.05690000,-0.00161000,-2.710%,58.60320000
YFIIBUSD,1192.00000000,0.00000000,0.00000000,0.00000000,0.000%,0.00000000
YFIIUSDT,1168.20000000,1239.50000000,1150.00000000,-59.30000000,-4.831%,1160.55840000
KSMBNB,0.12150000,0.12510000,0.12080000,-0.00290000,-2.331%,242.63800000
KSMBTC,0.00172500,0.00175600,0.00170100,-0.00003000,-1.709%,6468.84700000
KSMBUSD,34.89000000,36.25000000,34.29000000,-1.28000000,-3.539%,19724.47400000
KSMUSDT,34.88000000,36.62000000,34.28000000,-1.27000000,-3.513%,72819.82200000
EGLDBNB,0.19520000,0.19860000,0.19080000,-0.00320000,-1.613%,1498.97000000
EGLDBTC,0.00276500,0.00278500,0.00270300,-0.00001000,-0.360%,5595.41000000
EGLDBUSD,55.92000000,57.45000000,54.78000000,-1.30000000,-2.272%,49297.43000000
EGLDUSDT,55.89000000,57.43000000,54.75000000,-1.31000000,-2.290%,123999.71000000
DIABNB,0.00381300,0.00000000,0.00000000,0.00000000,0.000%,0.00000000
DIABTC,0.00001932,0.00001956,0.00001921,-0.00000012,-0.617%,158644.30000000
DIABUSD,0.39000000,0.40500000,0.38600000,-0.01100000,-2.743%,267236.80000000
DIAUSDT,0.39100000,0.40500000,0.38600000,-0.01100000,-2.736%,1135479.00000000
RUNEUSDT,1.50300000,1.57900000,1.48100000,-0.06100000,-3.900%,6742722.50000000
FIOUSDT,0.04220000,0.04320000,0.04190000,-0.00090000,-2.088%,4094472.00000000
UMABTC,0.00010820,0.00010880,0.00010650,0.00000050,0.464%,14507.20000000
UMAUSDT,2.19300000,2.23100000,2.17300000,-0.02800000,-1.261%,297580.60000000
EOSUPUSDT,0.21130000,0.00000000,0.00000000,0.00000000,0.000%,0.00000000
EOSDOWNUSDT,0.00036650,0.00000000,0.00000000,0.00000000,0.000%,0.00000000
TRXUPUSDT,0.05543000,0.05669000,0.05475000,-0.00067000,-1.194%,853564.77000000
TRXDOWNUSDT,1.12500000,1.15000000,1.09600000,0.01600000,1.443%,153885.51000000
XRPUPUSDT,0.18620000,0.20220000,0.18250000,-0.00720000,-3.723%,6216061.85000000
XRPDOWNUSDT,0.00027240,0.00028040,0.00025010,0.00001600,6.240%,6828905828.67000000
DOTUPUSDT,0.15380000,0.15980000,0.14840000,-0.00320000,-2.038%,3810558.21000000
DOTDOWNUSDT,13.25000000,13.93000000,12.61700000,0.32700000,2.530%,100812.56000000
SRMBIDR,26748.00,0.00,0.00,0.00,0.000%,0.00000000
ONEBIDR,119.92,0.00,0.00,0.00,0.000%,0.00000000
LINKTRY,131.10000000,135.60000000,128.70000000,-3.40000000,-2.528%,28759.18000000
USDTNGN,779.90000000,790.00000000,765.10000000,13.30000000,1.735%,90157.10000000
BELBNB,0.00189100,0.00192500,0.00186800,-0.00002400,-1.253%,73704.20000000
BELBTC,0.00002682,0.00002703,0.00002632,0.00000008,0.299%,74554.90000000
BELBUSD,0.54200000,0.55500000,0.53500000,-0.00900000,-1.633%,426853.90000000
BELUSDT,0.54200000,0.55600000,0.53400000,-0.00800000,-1.455%,1806913.60000000
WINGBNB,0.04865000,0.00000000,0.00000000,0.00000000,0.000%,0.00000000
WINGBTC,0.00039870,0.00040550,0.00039280,-0.00000160,-0.400%,7162.08000000
SWRVBNB,0.00150400,0.00000000,0.00000000,0.00000000,0.000%,0.00000000
SWRVBUSD,0.56490000,0.00000000,0.00000000,0.00000000,0.000%,0.00000000
WINGBUSD,8.07000000,8.28000000,7.94000000,-0.18000000,-2.182%,59880.24000000
WINGUSDT,8.07000000,8.28000000,7.93000000,-0.16000000,-1.944%,149098.39000000
LTCUPUSDT,0.48010000,0.00000000,0.00000000,0.00000000,0.000%,0.00000000
LTCDOWNUSDT,2.22790000,0.00000000,0.00000000,0.00000000,0.000%,0.00000000
LENDBKRW,579.46000000,0.00000000,0.00000000,0.00000000,0.000%,0.00000000
SXPEUR,0.32220000,0.33580000,0.28000000,-0.00620000,-1.888%,188346.20000000
CREAMBNB,0.07230000,0.00000000,0.00000000,0.00000000,0.000%,0.00000000
CREAMBUSD,11.97000000,12.60000000,11.94000000,-0.47000000,-3.778%,63412.86700000
UNIBNB,0.02320000,0.02462000,0.02279000,-0.00093000,-3.854%,97017.58000000
UNIBTC,0.00032920,0.00034480,0.00032370,-0.00000800,-2.372%,318799.72000000
UNIBUSD,6.66000000,7.18000000,6.52000000,-0.30000000,-4.310%,985955.99000000
UNIUSDT,6.66000000,7.13000000,6.51000000,-0.30000000,-4.310%,6079277.71000000
NBSBTC,0.00000031,0.00000000,0.00000000,0.00000000,0.000%,0.00000000
NBSUSDT,0.00166000,0.00219000,0.00154000,0.00009000,5.732%,2511748418.20000000
OXTBTC,0.00000454,0.00000467,0.00000451,-0.00000001,-0.220%,593359.00000000
OXTUSDT,0.09170000,0.09690000,0.09010000,-0.00240000,-2.550%,4089421.00000000
SUNBTC,0.00071100,0.00000000,0.00000000,0.00000000,0.000%,0.00000000
SUNUSDT,0.00657000,0.00673000,0.00623000,0.00020000,3.140%,262713844.00000000
AVAXBNB,0.06031000,0.06037000,0.05859000,0.00090000,1.515%,10607.15000000
AVAXBTC,0.00085470,0.00085890,0.00082100,0.00002500,3.013%,176017.17000000
AVAXBUSD,17.28000000,17.43000000,16.73000000,0.16000000,0.935%,818415.50000000
AVAXUSDT,17.27000000,17.43000000,16.73000000,0.16000000,0.935%,2006668.95000000
HNTBTC,0.00023570,0.00000000,0.00000000,0.00000000,0.000%,0.00000000
HNTUSDT,4.67000000,0.00000000,0.00000000,0.00000000,0.000%,0.00000000
BAKEBNB,0.00081000,0.00082300,0.00079700,-0.00000900,-1.099%,99102.20000000
BURGERBNB,0.00296000,0.00316000,0.00292000,-0.00002000,-0.671%,103231.20000000
SXPBIDR,19956.00,0.00,0.00,0.00,0.000%,0.00000000
LINKBKRW,16948.99000000,0.00000000,0.00000000,0.00000000,0.000%,0.00000000
FLMBNB,0.00333000,0.00000000,0.00000000,0.00000000,0.000%,0.00000000
FLMBTC,0.00000544,0.00000549,0.00000536,0.00000000,0.000%,346007.00000000
FLMBUSD,0.23210000,0.00000000,0.00000000,0.00000000,0.000%,0.00000000
FLMUSDT,0.10990000,0.11320000,0.10820000,-0.00250000,-2.224%,8664605.00000000
SCRTBTC,0.00004656,0.00004690,0.00004393,0.00000234,5.292%,191595.60000000
SCRTETH,0.00062360,0.00062940,0.00058010,0.00003490,5.928%,69602.00000000
CAKEBNB,0.01546000,0.01569000,0.01538000,-0.00011000,-0.706%,72653.38000000
CAKEBUSD,4.43200000,4.54000000,4.40100000,-0.05300000,-1.182%,436936.18000000
SPARTABNB,0.00006570,0.00000000,0.00000000,0.00000000,0.000%,0.00000000
UNIUPUSDT,1.05500000,0.00000000,0.00000000,0.00000000,0.000%,0.00000000
UNIDOWNUSDT,2.17200000,0.00000000,0.00000000,0.00000000,0.000%,0.00000000
ORNBTC,0.00005350,0.00005430,0.00005300,0.00000000,0.000%,26048.90000000
ORNUSDT,1.08100000,1.11700000,1.07300000,-0.02200000,-1.995%,231867.90000000
TRXNGN,20.71000000,0.00000000,0.00000000,0.00000000,0.000%,0.00000000
SXPTRY,6.06300000,6.21000000,5.96900000,-0.07700000,-1.254%,343927.50000000
UTKBTC,0.00000646,0.00000678,0.00000632,-0.00000004,-0.615%,1591108.00000000
UTKUSDT,0.13070000,0.14150000,0.12860000,-0.00340000,-2.535%,10392835.00000000
XVSBNB,0.01634000,0.01667000,0.01631000,-0.00033000,-1.980%,6381.38000000
XVSBTC,0.00023250,0.00023390,0.00023000,-0.00000110,-0.471%,13784.21000000
XVSBUSD,4.69000000,4.83000000,4.68000000,-0.13000000,-2.697%,36974.06000000
XVSUSDT,4.71000000,4.83000000,4.67000000,-0.11000000,-2.282%,53251.22000000
ALPHABNB,0.00039700,0.00040800,0.00039100,-0.00000800,-1.975%,86546.00000000
ALPHABTC,0.00000566,0.00000571,0.00000552,-0.00000004,-0.702%,381544.00000000
